C4a with L = k^m so the cascade is exact for every m
  k   m   L        n      In  Out  excess   L(1-((k-1)/k)^m)  excess/L
  2   1   2        5      0   0    1        1                 1/2
  2   2   4        12     0   0    3        3                 3/4
  2   3   8        29     0   0    7        7                 7/8
  2   4   16       70     0   0    15       15                15/16
  2   5   32       167    0   0    31       31                31/32
  2   6   64       392    0   0    63       63                63/64
  3   1   3        7      0   0    1        1                 1/3
  3   2   9        24     0   0    5        5                 5/9
  3   3   27       89     0   0    19       19                19/27
  3   4   81       334    0   0    65       65                65/81
  3   5   243      1227   0   0    211      211               211/243
  3   6   729      4388   0   0    665      665               665/729
