k=1 L=3 B=2 d=2: excess=8 bound=10 target B+2L+d-2=8 In=8 InBound=10 thm3=5
k=1 L=10 B=7 d=4: excess=29 bound=31 target B+2L+d-2=29 In=29 InBound=31 thm3=17
k=1 L=100 B=50 d=30: excess=278 bound=280 target B+2L+d-2=278 In=278 InBound=280 thm3=150
k=1 L=1000 B=500 d=1: excess=2499 bound=2501 target B+2L+d-2=2499 In=2499 InBound=2501 thm3=1500
k=2 m=1 L=2 d=1 n=11 B=4 excess=7 ratio=0.77778 gap_to_bound=2 In=11 In/bound=0.78571 over_thm3=1
k=2 m=1 L=2 d=1 n=11 B=4 excess=7 ratio=0.77778 gap_to_bound=2 In=11 In/bound=0.78571 over_thm3=1
k=2 m=1 L=2 d=2 n=13 B=4 excess=8 ratio=0.80000 gap_to_bound=2 In=13 In/bound=0.81250 over_thm3=2
k=2 m=1 L=2 d=4 n=17 B=4 excess=10 ratio=0.83333 gap_to_bound=2 In=17 In/bound=0.85000 over_thm3=4
k=2 m=2 L=4 d=1 n=18 B=8 excess=15 ratio=0.88235 gap_to_bound=2 In=23 In/bound=0.88462 over_thm3=3
k=2 m=2 L=4 d=2 n=20 B=8 excess=16 ratio=0.88889 gap_to_bound=2 In=25 In/bound=0.89286 over_thm3=4
k=2 m=2 L=4 d=4 n=24 B=8 excess=18 ratio=0.90000 gap_to_bound=2 In=29 In/bound=0.90625 over_thm3=6
k=2 m=2 L=4 d=8 n=32 B=8 excess=22 ratio=0.91667 gap_to_bound=2 In=37 In/bound=0.92500 over_thm3=10
k=2 m=3 L=8 d=1 n=35 B=16 excess=31 ratio=0.93939 gap_to_bound=2 In=47 In/bound=0.94000 over_thm3=7
k=2 m=3 L=8 d=4 n=41 B=16 excess=34 ratio=0.94444 gap_to_bound=2 In=53 In/bound=0.94643 over_thm3=10
k=2 m=3 L=8 d=8 n=49 B=16 excess=38 ratio=0.95000 gap_to_bound=2 In=61 In/bound=0.95312 over_thm3=14
k=2 m=3 L=8 d=16 n=65 B=16 excess=46 ratio=0.95833 gap_to_bound=2 In=77 In/bound=0.96250 over_thm3=22
k=2 m=4 L=16 d=1 n=76 B=32 excess=63 ratio=0.96923 gap_to_bound=2 In=95 In/bound=0.96939 over_thm3=15
k=2 m=4 L=16 d=8 n=90 B=32 excess=70 ratio=0.97222 gap_to_bound=2 In=109 In/bound=0.97321 over_thm3=22
