overlay,level,k,policy,promise_s,theta_s,p99_dl_s,gap_closed,mean_s,max_excess_s,harm_s,max_wait_s,bound_violations
0,0,8,FCFS,,,22.17,0.0,0.602,0.0,0.0,435.023,
0,0,8,SJF,,,8.31,1.0,0.188,1034.037,595.937,1185.899,
0,0,8,SPJF-E,,,12.136,0.724,0.239,1241.419,237.039,1374.795,
0,0,8,Guard(300),300.0,,12.769,0.6783,0.282,189.288,132.114,578.815,
0,0,8,Fixed(300),300.0,,12.564,0.6931,0.285,181.776,181.776,579.079,
0,0,8,Timeout(300),300.0,135.0,13.328,0.638,0.412,143.297,122.688,434.951,0
0,0,8,Guard(600),600.0,,12.27,0.7143,0.259,489.803,237.039,867.205,
0,0,8,Fixed(600),600.0,,12.263,0.7148,0.256,491.282,237.039,870.467,
0,0,8,Timeout(600),600.0,435.0,12.379,0.7065,0.276,429.982,237.039,640.369,0
0,0,8,Guard(1200),1200.0,,12.14,0.7237,0.248,996.732,93.198,1185.067,
0,0,8,Fixed(1200),1200.0,,12.153,0.7227,0.241,1062.019,237.039,1200.425,
0,0,8,Timeout(1200),1200.0,1035.0,12.172,0.7213,0.243,992.905,237.039,1116.653,0
0,0,8,Timeout-grid,180.0,15.0,21.169,0.0722,0.571,59.631,59.631,435.024,0
0,0,8,Timeout-grid,195.0,30.0,20.948,0.0882,0.539,67.897,59.631,435.026,0
0,0,8,Timeout-grid,225.0,60.0,15.339,0.4929,0.483,97.762,97.762,435.005,0
0,0,8,Timeout-grid,285.0,120.0,13.577,0.62,0.427,132.639,119.718,435.008,0
0,0,8,Timeout-grid,405.0,240.0,12.809,0.6754,0.349,237.039,237.039,460.465,0
0,0,8,Timeout-grid,645.0,480.0,12.358,0.708,0.265,473.317,237.039,687.899,0
0,0,8,Timeout-grid,1125.0,960.0,12.184,0.7205,0.245,917.098,237.039,1084.867,0
0,1,5,FCFS,,,109.708,0.0,4.106,0.0,0.0,1023.82,
0,1,5,SJF,,,34.186,1.0,0.965,2667.424,774.847,3072.262,
0,1,5,SPJF-E,,,43.768,0.8731,1.231,3044.499,249.16,3312.793,
0,1,5,Guard(300),300.0,,55.667,0.7156,2.051,199.702,98.121,1167.359,
0,1,5,Fixed(300),300.0,,53.458,0.7448,2.03,208.67,177.062,1167.397,
0,1,5,Timeout(300),300.0,144.0,87.218,0.2978,3.079,177.062,177.062,1023.878,0
0,1,5,Guard(600),600.0,,47.707,0.821,1.549,494.002,189.042,1467.375,
0,1,5,Fixed(600),600.0,,47.503,0.8237,1.555,498.645,249.16,1474.807,
0,1,5,Timeout(600),600.0,444.0,51.8,0.7668,2.366,435.264,249.16,1023.879,0
0,1,5,Guard(1200),1200.0,,46.803,0.8329,1.383,1091.471,117.695,2074.55,
0,1,5,Fixed(1200),1200.0,,45.595,0.8489,1.378,1106.292,249.16,2069.95,
0,1,5,Timeout(1200),1200.0,1044.0,46.246,0.8403,1.649,1012.481,249.16,1521.205,0
0,1,5,Timeout-grid,171.0,15.0,109.611,0.0013,4.003,61.007,51.811,1023.878,0
0,1,5,Timeout-grid,186.0,30.0,109.228,0.0064,3.829,65.707,56.048,1023.878,0
0,1,5,Timeout-grid,216.0,60.0,104.99,0.0625,3.514,97.028,86.467,1023.878,0
0,1,5,Timeout-grid,276.0,120.0,108.478,0.0163,3.172,157.722,155.56,1023.878,0
0,1,5,Timeout-grid,396.0,240.0,60.878,0.6466,2.811,270.966,239.96,1023.878,0
0,1,5,Timeout-grid,636.0,480.0,50.961,0.7779,2.29,472.187,249.16,1023.879,0
0,1,5,Timeout-grid,1116.0,960.0,46.63,0.8352,1.692,927.215,249.16,1437.108,0
0,2,4,FCFS,,,263.12,0.0,10.099,0.0,0.0,1544.603,
0,2,4,SJF,,,42.881,1.0,1.65,4755.467,1101.479,5299.532,
0,2,4,SPJF-E,,,61.811,0.914,2.237,5904.525,462.675,6286.248,
0,2,4,Guard(300),300.0,,156.169,0.4856,5.423,219.608,103.337,1694.463,
0,2,4,Fixed(300),300.0,,162.661,0.4561,5.376,214.19,198.954,1694.737,
0,2,4,Timeout(300),300.0,150.0,254.199,0.0405,7.876,188.514,182.278,1544.605,0
0,2,4,Guard(600),600.0,,87.541,0.7972,3.76,512.304,259.306,1994.473,
0,2,4,Fixed(600),600.0,,85.254,0.8076,3.785,511.827,450.334,1994.433,
0,2,4,Timeout(600),600.0,450.0,172.172,0.413,6.262,462.088,449.459,1544.605,0
0,2,4,Guard(1200),1200.0,,77.363,0.8434,2.951,1110.43,103.299,2603.196,
0,2,4,Fixed(1200),1200.0,,71.941,0.8681,2.996,1110.429,462.675,2603.665,
0,2,4,Timeout(1200),1200.0,1050.0,82.842,0.8186,4.322,1058.816,462.675,1775.483,0
0,2,4,Timeout-grid,165.0,15.0,263.165,-0.0002,9.961,61.644,61.644,1544.606,0
0,2,4,Timeout-grid,180.0,30.0,262.568,0.0025,9.693,70.967,61.644,1544.606,0
0,2,4,Timeout-grid,210.0,60.0,261.895,0.0056,9.045,99.938,99.938,1544.605,0
