job_id,actual_wait_ns,exact_shadow_fcfs_wait_ns,exact_guard_upper_bound_ns,exact_excess_ns,bound_slack_ns,production_shadow_rounding_error_ns
0,10163800,0,274000000000,10163800,273989836200,0
1,10256800,0,274000000000,10256800,273989743200,0
2,218006500,207489000,274414978000,10517500,274196971500,0
3,208417900,197981700,274395963400,10436200,274187545500,-700
4,212500,0,274000000000,212500,273999787500,0
5,339400,0,274000000000,339400,273999660600,0
6,203586800,202984500,274405969000,602300,274202382200,-500
7,203655000,203102900,274406205800,552100,274202550800,100
8,406877300,405981100,274811962200,896200,274405084900,-100
9,140800,0,274000000000,140800,273999859200,0
10,138800,0,274000000000,138800,273999861200,0
11,212402700,211890000,274423780000,512700,274211377300,-1000
12,469318700,468829200,274937658400,489500,274468339700,-200
13,158443800,157659400,274315318800,784400,274156875000,-400
14,115234900,111713100,274223426200,3521800,274108191300,-1100
15,131564100,130773400,274261546800,790700,274129982700,600
16,308437300,304536800,274609073600,3900500,274300636300,-800
17,254700,0,274000000000,254700,273999745300,0
18,33598500,29411000,274058822000,4187500,274025223500,-1000
19,200800,0,274000000000,200800,273999799200,0
20,197700,0,274000000000,197700,273999802300,0
21,238263000,237526700,274475053400,736300,274236790400,300
22,238277000,237522500,274475045000,754500,274236768000,-500
23,22708600,21635000,274043270000,1073600,274020561400,0
24,22636100,21561600,274043123200,1074500,274020487100,-600
25,220797800,219357500,274438715000,1440300,274217917200,-500
26,14648900,13133300,274026266600,1515600,274011617700,-300
27,212642200,210821400,274421642800,1820800,274209000600,600
28,246011900,244245800,274488491600,1766100,274242479700,200
29,444432600,442245000,274884490000,2187600,274440057400,0
30,477685900,475627500,274951255000,2058400,274473569100,-500
31,675988800,673264200,275346528400,2724600,274670539600,800
32,709085400,706787800,275413575600,2297600,274704490200,-800
33,297200,0,274000000000,297200,273999702800,0
34,284900,0,274000000000,284900,273999715100,0
35,1932603700,427109700,274854219400,1505494000,272921615700,1300
36,2138241600,427115700,274854231400,1711125900,272715989800,-700
